Cents,Value,Hex,Formatted
-40,3201260706,BECF5CA2,a2 5c cf be
-39,3200826693,BEC8BD45,45 bd c8 be
-38,3200658921,BEC62DE9,e9 2d c6 be
-37,3200155605,BEBE7FD5,d5 7f be be
-36,3199820059,BEB9611B,1b 61 b9 be
-35,3199614326,BEB63D76,76 3d b6 be
-34,3199148972,BEAF23AC,ac 23 af be
-33,3198981198,BEAC944E,4e 94 ac be
-32,3198645656,BEA77598,98 75 a7 be
-31,3198310112,BEA256E0,e0 56 a2 be
-30,3197905264,BE9C2970,70 29 9c be
-29,3197471252,BE958A14,14 8a 95 be
-28,3197303480,BE92FAB8,b8 fa 92 be
-27,3196967932,BE8DDBFC,fc db 8d be
-26,3196464620,BE862DEC,ec 2d 86 be
-25,3196258883,BE830A43,43 0a 83 be
-24,3195862958,BE7CFFAE,ae ff 7c be
-23,3195191863,BE72C237,37 c2 72 be
-22,3194520780,BE6884CC,cc 84 68 be
-21,3193849686,BE5E4756,56 47 5e be
-20,3193039995,BE51EC7B,7b ec 51 be
-19,3192171969,BE44ADC1,c1 ad 44 be
-18,3191500880,BE3A7050,50 70 3a be
-17,3191165336,BE355198,98 51 35 be
-16,3190158704,BE25F570,70 f5 25 be
-15,3189411687,BE1A8F67,67 8f 1a be
-14,3188816525,BE117A8D,8d 7a 11 be
-13,3188145437,BE073D1D,1d 3d 07 be
-12,3187809893,BE021E65,65 1e 02 be
-11,3186606568,BDEFC1E8,e8 c1 ef bd
-10,3184987179,BDD70C2B,2b 0c d7 bd
-9,3183251125,BDBC8EB5,b5 8e bc bd
-8,3181908947,BDA813D3,d3 13 a8 bd
-7,3181237858,BD9DD662,62 d6 9d bd
-6,3179895688,BD895B88,88 5b 89 bd
-5,3176178691,BD50A403,03 a4 50 bd
-4,3173798058,BD2C50AA,aa 50 2c bd
-3,3171113703,BD035AE7,e7 5a 03 bd
-2,3165964874,BCB4CA4A,4a ca b4 bc
-1,3158687115,BC45BD8B,8b bd 45 bc
0,0,00000000,00 00 00 00
1,1011203467,3C45BD8B,8b bd 45 3c
2,1018481226,3CB4CA4A,4a ca b4 3c
3,1023630055,3D035AE7,e7 5a 03 3d
4,1026314410,3D2C50AA,aa 50 2c 3d
5,1028695043,3D50A403,03 a4 50 3d
6,1032412040,3D895B88,88 5b 89 3d
7,1033754210,3D9DD662,62 d6 9d 3d
8,1034425299,3DA813D3,d3 13 a8 3d
9,1035767477,3DBC8EB5,b5 8e bc 3d
10,1037503531,3DD70C2B,2b 0c d7 3d
11,1039122920,3DEFC1E8,e8 c1 ef 3d
12,1040326245,3E021E65,65 1e 02 3e
13,1040661789,3E073D1D,1d 3d 07 3e
14,1041332877,3E117A8D,8d 7a 11 3e
15,1041928039,3E1A8F67,67 8f 1a 3e
16,1042675056,3E25F570,70 f5 25 3e
17,1043681688,3E355198,98 51 35 3e
18,1044017232,3E3A7050,50 70 3a 3e
19,1044688321,3E44ADC1,c1 ad 44 3e
20,1045556347,3E51EC7B,7b ec 51 3e
21,1046366038,3E5E4756,56 47 5e 3e
22,1047037132,3E6884CC,cc 84 68 3e
23,1047708215,3E72C237,37 c2 72 3e
24,1048379310,3E7CFFAE,ae ff 7c 3e
25,1048775235,3E830A43,43 0a 83 3e
26,1048980972,3E862DEC,ec 2d 86 3e
27,1049484284,3E8DDBFC,fc db 8d 3e
28,1049819832,3E92FAB8,b8 fa 92 3e
29,1049987604,3E958A14,14 8a 95 3e
30,1050421616,3E9C2970,70 29 9c 3e
31,1050826464,3EA256E0,e0 56 a2 3e
32,1051162008,3EA77598,98 75 a7 3e
33,1051497550,3EAC944E,4e 94 ac 3e
34,1051665324,3EAF23AC,ac 23 af 3e
35,1052130678,3EB63D76,76 3d b6 3e
36,1052336411,3EB9611B,1b 61 b9 3e
37,1052671957,3EBE7FD5,d5 7f be 3e
38,1053175273,3EC62DE9,e9 2d c6 3e
39,1053343045,3EC8BD45,45 bd c8 3e
40,1053777058,3ECF5CA2,a2 5c cf 3e
100,1065353242,3F80001A,1a 00 80 3f
